Tre≈õƒá,Tytu≈Ç filmu,Data i godzina publikacji filmu,Czas trwania,Wy≈õwietlenia zamierzone,≈öredni czas oglƒÖdania,≈öredni procent obejrzenia (%),Kontynuowa≈Ço oglƒÖdanie (%),Unikalni widzowie,≈örednia liczba wy≈õwietle≈Ñ na widza,Nowi widzowie,PowracajƒÖcy widzowie,Przypadkowi widzowie,Stali widzowie,Przychody z transakcji (PLN),Transakcje,Przychody z transakcji (PLN),YouTube Premium (PLN),Reklamy na stronie odtwarzania filmu (PLN),Szacunkowe przychody z DoubleClick (PLN),Szacunkowe przychody z AdSense (PLN),Podbicia,Punkty za podbicia,Pozyskane subskrypcje,Utracone subskrypcje,Polubienia,Oceny negatywne,Polubienia / g≈Çosy na nie (%),Udostƒôpnienia,Dodane komentarze,Przychody z¬†reklam w¬†YouTube (PLN),Wy≈õwietlenia reklam,CPM wg odtworze≈Ñ (PLN),CPM (PLN),Szacowane odtworzenia generujƒÖce przychody,RPM (PLN),Czas oglƒÖdania playlisty (godziny),Wy≈õwietlenia z playlist,Wy≈õwietlenia film√≥w na w≈ÇƒÖczenie playlisty,Wy≈õwietlenia,Czas oglƒÖdania (w¬†godzinach),Subskrybenci,Szacunkowe przychody (PLN),Wy≈õwietlenia miniatur,Wsp√≥≈Çczynnik klikalno≈õci wy≈õwietlonych miniatur (%)
_PLts7wmAPQ,Uznali niemowlę za ANTYCHRYSTA. Krwawe Rytuały Elit.,"Dec 21, 2025",3198,10713,0:22:30,42.24,,,,,,,,0,0,,74.591,145.804,0,145.804,53,48710,46,3,382,3,99.22,42,35,264.799,24840,37.207,10.66,7117,20.767,86.32,216,1.9018,10713,4020.1946,43,220.395,141742,3.91
gqjNQMrtAoQ,Naukowcy Ostrzegają! Czy Sztuczna Inteligencja Zniszczy Nasz Świat ?,"Jun 8, 2025",2305,13910,0:17:11,44.75,,,,,,,,0,0,,67.294,231.787,0,231.787,0,0,86,3,389,12,97.01,87,79,421.468,32511,39.574,12.964,10650,21.527,112.7318,344,1.308,13910,3985.5677,83,299.081,165456,4.5
CEtEEPMY8b8,Heaven's Gate: Zabrało ich UFO? [ostatnie nagrania],"Sep 14, 2025",2818,12828,0:16:49,35.81,,,,,,,,42.665,5,8.533,64.488,218.32,0,218.32,53,39580,57,2,402,7,98.29,23,33,396.846,29546,47.998,13.431,8268,25.424,215.7103,575,1.6067,12828,3596.0175,55,325.472,188206,4.16
TUUSL1uoZ8E,Najgorsi Ludzie w Historii Iceberg: Część Druga,"Dec 1, 2024",2868,9183,0:22:07,46.3,,,,,,,,0,0,,56.656,188.81,0,188.81,0,0,70,6,368,7,98.13,14,21,343.295,24682,47.601,13.909,7212,26.765,260.9607,616,2.2948,9183,3387.5037,64,245.466,150956,3.85
_GQL0BYv6s4,Odkryj Tajemnice Zaginięć w Parkach Narodowych 4: Missing 411,"Jan 16, 2025",1960,12131,0:15:39,47.95,0,,,,,,,0,0,,45.763,207.192,0,207.192,0,0,173,2,645,3,99.54,28,37,376.722,26304,37.556,14.322,10031,20.857,192.9199,619,2.476,12131,3166.7021,171,252.955,183675,4.31
HHjxujHJFfw,Zaginięcia w Parkach Narodowych 2: Missing 411,"Sep 26, 2024",1640,13806,0:13:24,49.04,,,,,,,,0,0,,39.89,205.953,0,205.953,0,0,290,1,810,10,98.78,21,33,374.471,24617,31.569,15.212,11862,17.815,239.4273,798,3.6606,13806,3085.234,289,245.843,191607,4.63
5KK1xE7LIo4,Odkryj Tajemnice Zaginięć w Parkach Narodowych 3: Missing 411,"Oct 17, 2024",1848,11306,0:15:25,50.06,,,,,,,,0,0,,43.377,218.48,0.134,218.346,0,0,161,3,540,5,99.08,23,21,397.241,26000,43.701,15.279,9090,23.179,243.0314,802,2.5623,11306,2905.1556,158,261.857,174859,3.85
p3A2WDq8YOU,Nie możemy rozmawiać o tej wyspie.,"Nov 13, 2025",1547,14655,0:11:52,46.08,,,,,,,,0,0,,54.469,234.66,0,234.66,67,64990,52,5,495,4,99.2,26,34,426.72,28112,38.347,15.179,11128,19.836,121.1251,585,1.3234,14655,2901.7077,47,289.129,171671,5.37
Tjd7DmV4kPo,Dlaczego wypalił na nich swój znak? Niewolnice sekty NXIVM,"Nov 23, 2025",2782,7741,0:19:25,41.91,,,,,,,,0,0,,48.071,152.41,0,152.41,40,38370,30,8,265,5,98.15,32,22,277.022,17383,53.1,15.936,5217,25.986,91.1835,207,1.8624,7741,2506.7609,22,200.481,109990,4.03
9xipxIiI1Jk,"Wiedziała, że już nie wróci do domu.","May 11, 2025",1739,8162,0:17:41,60.16,,,,,,,,0,0,,39.864,154.786,0,154.786,0,0,40,0,232,4,98.31,36,21,281.436,21032,50.819,13.381,5538,23.857,45.0019,144,2.4828,8162,2406.6346,40,194.65,98114,3.16
eucEcEz3-aM,Papież Zbrodniarzem ? Najgorsi Ludzie Iceberg 3,"Mar 2, 2025",2569,7210,0:19:59,46.71,,,,,,,,0,0,,41.118,124.648,0,124.648,0,0,21,4,318,5,98.45,11,21,226.64,17104,41.215,13.251,5499,23.017,129.8352,422,1.3592,7210,2403.2005,17,165.767,118282,3.82
uXigvRFrqkw,"Zabójstwo Brzeskiej, Złoty Pociąg i Polska Bomba Atomowa : Mroczne Sekrety Polski","Aug 31, 2025",2322,8477,0:16:38,43,,,,,,,,0,0,,47.101,158.602,0,158.602,71,55630,37,1,398,5,98.76,31,24,288.257,20894,45.784,13.796,6296,24.306,153.1684,435,1.9727,8477,2351.5578,36,205.703,137121,3.77
dkqF7OIPGfY,Co zabiło 15 000 ludzi w Londynie?,"Jan 22, 2026",1288,14435,0:09:31,44.36,,,,,,,,0,0,,35.407,173.335,0,173.335,55,45310,89,5,492,8,98.4,54,25,314.818,23347,33.87,13.484,9295,15.039,19.1715,112,1.3506,14435,2292.339,84,208.742,186846,4.76
GZl3H2TFNSI,Czy FBI Coś Ukrywa? Tajemnicze Zaginięcia w Parkach Narodowych,"Feb 16, 2025",1743,9032,0:15:06,52.02,,,,,,,,0,0,,39.71,128.272,0,128.272,0,0,40,4,436,5,98.87,21,35,233.225,16404,34.072,14.218,6845,18.607,142.1203,522,1.3773,9032,2274.1701,36,167.982,125724,4.46
xuBVxIvooyI,Nie byli na to przygotowani! Apokalipsa 8200 lat temu,"Nov 2, 2025",1901,10153,0:13:11,41.62,100,,,,,,,0,0,,41.705,136.997,0,136.997,51,50140,33,2,472,7,98.54,18,33,249.119,17581,34.145,14.17,7296,17.665,69.8267,254,2.193,10153,2231.9042,31,178.702,129093,5.06
hvOO_Z7xSGE,Zagadka Lasu Rendlesham - Zolnierze I UFO,"Nov 13, 2023",1811,9311,0:13:07,43.46,,,,,,,,0,0,,29.922,147.411,0,147.411,0,0,57,5,337,8,97.68,36,18,268.022,19381,34.039,13.829,7874,19.101,128.7718,411,3.6937,9311,2036.2012,52,177.333,95648,6.4
EgwbGTYyifI,Kto Prześladował Mieszkańców Małego Miasteczka ? Zagadka Mothmana,"Feb 2, 2024",2660,6098,0:19:31,44.06,,,,,,,,0,0,,29.808,92.125,0,92.125,0,0,25,2,267,4,98.52,8,20,167.503,12983,38.515,12.902,4349,20.061,227.6325,522,3.3553,6098,1985.0173,23,121.933,86806,4.11
DA5OhDEuLQY,Słowiańscy Bogowie i Potwory :  Iceberg cz.2,"Jul 31, 2024",2369,6770,0:17:24,44.1,,,,,,,,0,0,,33.631,129.387,0,129.387,0,0,58,2,259,6,97.74,29,13,235.251,15318,43.501,15.358,5408,24.08,143.8438,556,1.4005,6770,1964.6313,56,163.019,94373,3.13
TyV0MjuEPtY,Nie chciałbyś się wtedy urodzić – Wulkan Toba 74 tys. p.n.e.,"Sep 4, 2025",1245,13449,0:08:45,42.24,,,,,,,,0,0,,36.534,153.215,0,153.215,35,27040,95,3,414,7,98.34,18,35,278.576,20013,31.888,13.92,8736,14.128,87.4893,386,1.6325,13449,1964.5339,92,189.749,202150,4.08
5JFzRwIF77k,Filmy Które Nie Pozwalały Nam Zasnąć : Traumy Z Dzieciństwa,"Oct 27, 2024",2746,7348,0:15:58,34.9,,,,,,,,0,0,,30.951,128.301,0,128.301,0,0,44,3,312,4,98.73,18,63,233.274,15733,46.002,14.827,5071,21.676,63.8291,146,2.9796,7348,1955.678,41,159.251,144445,2.93
52Yjnj_poNs,Pasożyt Który Przejmuje Umysł – I Inne Niewyjaśnione Odkrycia Naukowe!,"Apr 13, 2025",1823,7573,0:13:50,45.53,100,,,,,,,0,0,,30.501,117.848,0,117.848,0,0,50,1,368,3,99.19,39,26,214.281,15252,38.686,14.049,5539,19.597,70.9538,198,4.8049,7573,1745.9993,49,148.349,116120,3.93
dkYIT7vsGoA,Koncert Zamienił Się w Piekło - Prawdziwe Nagrania,"Jul 13, 2025",1493,7849,0:12:37,50.74,,,,,,,,0,0,,28.452,89.616,0,89.616,3,2790,31,3,199,2,99,8,15,162.938,14289,36.024,11.403,4523,15.058,32.5571,220,1.2749,7849,1651.6813,28,118.068,100865,3.04
8y9bxdg71JI,Katastrofa MTK: Dlaczego musiała RUNĄĆ? (20 lat później),"Jan 25, 2026",1921,7287,0:13:29,42.11,,,,,,,,0,0,,27.591,64.373,0,64.373,35,28190,23,1,322,2,99.38,34,25,116.854,11239,26.13,10.397,4472,13.255,11.9443,63,1.0351,7287,1638.0866,22,91.964,93505,4.48
SqLrz0JhkRk,Odkryj Tajemnice Zaginięć w Parkach Narodowych 6: Missing 411,"Mar 23, 2025",2033,5558,0:17:05,50.45,,,,,,,,0,0,,25.971,117.589,0,117.589,0,0,47,1,356,5,98.61,13,24,213.807,14299,43.369,14.953,4930,25.904,,,,5558,1583.6298,46,143.56,94398,4.02
D0rdAxYNzc0,Tajemnicze Zaginiecia w Parkach Narodowych : Missing 411,"Oct 12, 2023",1065,8414,0:09:02,50.93,,,,,,,,0,0,,13.89,107.01,0,107.01,0,0,68,4,358,6,98.35,22,9,194.565,13256,30.616,14.678,6355,14.374,193.2091,1004,1.9197,8414,1267.6012,64,120.9,99642,5.34
oZP5BL250AM,"To cud, że nadal istniejemy.","Dec 4, 2025",1271,7613,0:09:57,46.97,,,,,,,,8.54,1,8.54,23.051,109.322,0,109.322,44,41350,25,2,345,6,98.29,21,31,198.799,13244,37.946,15.01,5239,18.625,45.4645,227,1.5,7613,1262.4116,23,140.913,100026,4.7
g8WFQ44wQjo,Zbrodnia Na Torach: Niewyjaśniona Sprawa Kevina I Dona,"Nov 6, 2023",2156,4909,0:14:46,41.14,,,,,,,,0,0,,10.108,30.487,0,30.487,0,0,155,2,293,5,98.32,18,33,55.431,4013,39.285,13.813,1411,8.271,104.5007,266,4.0923,4909,1209.045,153,40.595,98493,3.54
ah_wA7dDtTE,Dania zamknęła niebo. Co naprawdę widziano nad Kopenhagą?,"Oct 9, 2025",894,9914,0:07:02,47.27,,,,,,,,0,0,,19.238,112.14,0,112.14,22,14080,36,8,380,10,97.44,35,38,203.896,16524,24.352,12.339,8373,13.271,36.8108,283,1.5389,9914,1163.9901,28,131.378,109951,5.82
GKnEfayYdSc,Co Stało Się z 43 Zaginionymi Studentami ?,"Feb 15, 2024",2145,4386,0:14:43,41.18,,,,,,,,0,0,,17.129,52.513,0,52.513,0,0,21,2,238,4,98.35,16,7,95.479,7312,31.439,13.058,3037,15.882,64.3941,218,3.9636,4386,1076.2093,19,69.642,58853,4.26
9kRRRciACWc,Teorie Spiskowe Które Okazały Się Prawdą - MK-ULTRA,"Dec 8, 2024",1389,5205,0:11:32,49.86,,,,,,,,0,0,,16.711,62.277,0,62.277,0,0,17,2,236,3,98.74,43,13,113.248,8804,27.887,12.863,4061,15.237,77.5764,322,2.6271,5205,1001.3959,15,78.988,89524,3.8
tJkmTWnnfpI,Polska Atlantyda : To Wikingowie stali za jej zagładą ?,"Oct 30, 2025",1980,4097,0:14:34,44.14,,,,,,,,0,0,,17.788,71.917,0,71.917,23,22770,13,0,184,1,99.46,14,16,130.763,8797,42.775,14.864,3057,21.927,66.3064,246,1.3388,4097,994.7443,13,89.705,80439,3.04
0e_RS-V0H90,Najdziwniejsze Obrzędy ze Świata,"Oct 31, 2024",2020,4002,0:14:15,42.34,,,,,,,,0,0,,16.501,62.47,0,62.47,0,0,35,3,218,2,99.09,16,6,113.583,7772,37.363,14.614,3040,19.748,62.0267,218,3.5161,4002,950.5193,32,78.972,98107,2.61
y4J6NLF_Mss,"Po tych tabletkach, nie mieli dla Polaków litości.","Dec 18, 2025",1341,4971,0:10:39,47.66,,,,,,,,0,0,,16.207,59.374,0,59.374,0,0,14,1,241,3,98.77,28,24,107.972,7845,32.483,13.763,3324,15.269,18.955,89,2.175,4971,882.6477,13,75.582,76231,4.09
exd9y_pytdc,Nie Uciekniesz! 3 Przerażające Potwory SCP Na Wolności,"Feb 23, 2025",1296,5261,0:08:58,41.56,,,,,,,,28.462,1,28.462,13.011,54.419,0,54.419,0,0,40,7,324,3,99.08,13,32,98.943,7544,25.606,13.115,3864,18.248,54.4725,309,1.913,5261,787.1306,33,95.892,80470,4.39
6AC_j0Vs6f4,10 Niepokojących Filmów z Internetu: Scary Commentary Odcinek 6,"Jan 19, 2025",2623,3984,0:10:51,24.85,0,,,,,,,0,0,,10.164,32.841,0,32.841,0,0,8,5,138,5,96.5,6,34,59.714,5538,24.078,10.783,2480,10.805,60.2876,223,2.198,3984,721.1726,3,43.005,68113,3.37
LU-rjr8V5fw,Czy ojciec był odpowiedzialny ? Morderstwa na Farmie Hinterkeifeck,"Nov 27, 2023",2325,2426,0:17:35,45.39,,,,,,,,0,0,,9.872,0.007,0,0.007,0,0,25,1,154,3,98.09,8,11,0.012,2,6,6,2,4.073,99.3676,241,4.5472,2426,710.8133,24,9.878,40324,3.3
bG6lTQfhtw0,6 Przerażających Historii Podczas Biwakowania: Scary Commentary Odcinek 3,"Sep 22, 2024",1893,3780,0:10:52,34.49,,,,,,,,0,0,,10.453,46.706,0,46.706,0,0,15,0,168,4,97.67,8,16,84.919,6259,29.996,13.568,2831,15.141,61.2541,283,2.2109,3780,685.6017,15,57.159,67509,3.6
xL0u1joJBgQ,"Antyczny Demon, Donald Trump i Nawiedzona Chata – Mroczne Historie SCP","Mar 30, 2025",1027,5065,0:07:52,46.04,,,,,,,,0,0,,12.546,49.769,0,49.769,0,0,14,1,248,7,97.25,12,18,90.49,6876,25.891,13.16,3495,12.317,66.8326,425,1.5495,5065,665.1751,13,62.315,83547,3.71
vkaRWZk-OSE,Wstrząsające Spotkania Podczas Eksploracji: Scary Commentary Odcinek 5,"Oct 20, 2024",1717,3390,0:11:29,40.19,,,,,,,,0,0,,10.73,38.642,0,38.642,0,0,14,3,111,2,98.23,3,10,70.259,5753,31.936,12.213,2200,14.586,47.1522,245,2.4158,3390,649.7356,11,49.372,64711,2.87
_89vJEKzhz4,Tajemniczy przypadek Travisa Waltona,"Oct 23, 2023",1153,3930,0:08:29,44.19,,,,,,,,0,0,,4.825,26.004,0,26.004,0,0,42,3,173,5,97.19,25,18,47.281,3776,29.025,12.521,1629,7.847,83.9669,356,9.3684,3930,556.2281,39,30.829,39432,3.82
hbocwLU5-d8,Niewytłumaczalne Zaginięcie - Steven Kubacki,"Dec 11, 2023",1075,3199,0:09:42,54.16,,,,,,,,0,0,,6.525,33.413,0,33.413,0,0,40,1,215,0,100,13,13,60.751,4037,35.757,15.049,1699,12.485,48.4925,237,3.5373,3199,517.9277,39,39.938,39123,4.21
2FpFN9mdRdw,Scary Commentary - Przerażające Filmy Z Internetu Część 1,"Aug 18, 2024",1709,2854,0:10:48,37.96,,,,,,,,0,0,,7.735,36.205,0,36.205,0,0,15,1,110,5,95.65,4,17,65.827,4787,37.68,13.751,1747,15.417,40.4955,201,2.68,2854,514.4076,14,43.939,52518,2.88
1ZORUNC8rro,6 Przerażających Historii Podczas Biwakowania: Scary Commentary Odcinek 4,"Oct 6, 2024",1327,3646,0:07:45,35.09,,,,,,,,0,0,,6.852,34.765,0,34.765,0,0,27,5,149,4,97.39,3,17,63.212,4912,25.184,12.869,2510,11.424,37.9243,185,3.3636,3646,471.5687,22,41.617,79678,2.93
Do169mAREik,"Czy TO dowodzi, że duchy istnieją? – Scary Commentary 7","Feb 6, 2025",1864,3432,0:07:48,25.15,,,,,,,,0,0,,7.075,32.422,0,32.422,0,0,10,5,131,0,100,6,16,58.948,4591,26.363,12.84,2236,11.508,40.5848,277,1.5249,3432,446.8347,5,39.497,59046,3.61
CcXHbUvjy_U,Zmuszeni do Przetrwania: Szokujące Wydarzenia na Wyspie Nazino,"Nov 20, 2023",1116,2651,0:09:01,48.56,,,,,,,,0,0,,5.022,21.264,0,21.264,0,0,24,0,117,1,99.15,13,9,38.664,2994,25.287,12.914,1529,9.927,38.5143,229,1.2063,2651,399.0414,24,26.286,46113,3.57
WH7HPSbbb6g,Prawda czy Legenda ? Bestia z Gevaudan,"Oct 30, 2023",822,2790,0:06:03,44.28,,,,,,,,0,0,,2.549,19.657,0,19.657,0,0,21,1,134,4,97.1,16,20,35.74,2684,25.456,13.316,1404,7.962,33.9085,255,1.2439,2790,282.0641,20,22.206,46059,3.8
 -SS-VkJuX6A,Scary Commentary - Przerażające Filmy Z Internetu Odcinek 2,"Sep 4, 2024",1095,1648,0:08:36,47.17,,,,,,,,0,0,,3.498,17.102,0,17.102,0,0,3,4,65,3,95.59,7,7,31.095,2363,29.586,13.159,1051,12.53,33.3651,200,4.1667,1648,236.4979,-1,20.6,47133,1.79
Mlulqp8u7vw,Dzieci Spotkaly Obcych ? Incydent w Zimbabwe,"Oct 5, 2023",774,2293,0:05:56,46.09,,,,,,,,0,0,,0.974,5.937,0,5.937,0,0,15,0,111,0,100,8,11,10.794,826,26.784,13.068,403,3.023,84.5368,660,1.0861,2293,227.1614,15,6.91,19478,3.4
bBJS5I2hZog,Pierwsze Porwanie Przez Obcych ? Tajemnica Betty i Barneya Hill,"Sep 24, 2023",703,2729,0:04:46,40.77,,,,,,,,0,0,,1.801,13.067,0,13.067,0,0,39,2,135,4,97.12,21,11,23.759,1999,22.542,11.885,1054,5.458,52.9577,376,6.6786,2729,217.289,37,14.868,11925,9.38
oSN-QlW234M,⁣O Jakich Teoriach Spiskowych Nie Chce Rozmawiać: Q&A na 10 Tysięcy Subów,"Feb 28, 2025",797,1760,0:05:15,39.6,,,,,,,,0,0,,2.373,16.998,0,16.998,0,0,10,2,131,0,100,3,21,30.906,2218,23.592,13.934,1310,11.013,4.0254,50,2.2727,1760,154.2891,8,19.371,53271,2.12
yUZH5PcdwLY,Stream Na 20 K Subów,"Oct 25, 2025",17161,807,0:10:49,3.79,,,,,,,,25.62,3,8.54,2.806,3.712,0,3.712,0,0,2,4,55,0,100,2,1,6.911,1194,6.306,5.788,1096,39.824,,,,807,145.6788,-2,32.138,28736,1.52
j3FLDjV5YT0,Kończymy Outlasta. Zapraszam na horror :),"Nov 30, 2025",22013,366,0:15:02,4.1,,,,,,,,0,0,,1.736,1.857,0,1.857,0,0,1,6,19,0,100,1,0,3.377,602,7.909,5.61,427,9.817,,,,366,91.8037,-5,3.593,13140,1.37
zCwtJSLu0bg,Tajemnicze zgony w Polsce #historia #horror,"Dec 29, 2025",58,6278,0:00:50,87.01,50.58,,,,,,,0,0,,0.295,0,0,0,0,0,45,0,628,7,98.9,24,27,,,,,,0.367,,,,13345,90.3543,45,2.305,9210,3.42
p102KxNK7To,"OUTLAST – pierwszy raz, pełne przejście? | Gramy w Horror.","Nov 22, 2025",13942,300,0:12:53,5.55,,,,,,,,0,0,,0.944,2.389,0,2.389,0,0,0,3,11,0,100,0,0,4.862,505,13.581,9.628,358,11.11,,,,300,64.4507,-3,3.333,9707,1.73
ctCqvaTh5UE,Sygnał z kosmosu w 2050 roku... Czy to byli Obcy? 👽,"Dec 27, 2025",87,3353,0:01:02,71.67,64.46,,,,,,,0,0,,0.231,0,0,0,0,0,3,0,136,7,95.1,4,12,,,,,,0.36,,,,6533,58.8162,3,1.205,10293,4.88
qId7td-a1ec,Gramy w HORROR Man of Medan : House of Ashes,,11642,277,0:08:59,4.54,,,,,,,,0,0,,0.692,1.862,0,1.862,0,0,2,1,14,0,100,1,2,3.4,455,10.029,7.473,339,9.224,,,,277,41.4833,1,2.555,9339,1.51
DEB7Ubgil1A,Rok Kanału Late Night Stories,,2302,87,0:03:56,10.29,,,,,,,,25.599,3,8.533,0.092,5.457,0,5.457,0,0,3,4,12,0,100,0,2,9.922,1074,9.972,9.238,995,358.023,,,,87,5.7227,-1,31.148,121784,0.04
Nii_fBGb0_c,How to Make VIRAL THUMBNAILS like celebrities - Easy! 🔥,"Jan 10, 2024",1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,1,,,,,,,
UTbU3cclkDU,"How To Reveal Text, Title, or Logo in Premiere Pro","Jul 10, 2021",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5217,7,3.5,,,,,,
VvhOxxM8R3c,STOP! Thumbnails & Video Quality Don’t Grow YouTube Channels,"Jan 28, 2024",921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2382,1,1,,,,,,
lM9TrptjkaU,Get the CINEMATIC film look in 3 steps! (NO LUTS!) | Adobe Premiere Pro 2020,"Jul 9, 2020",454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1607,5,,,,,,,
lzt2rjQYkFc,10 Premiere Pro TRICKS You Wish You Knew Sooner 👀,"Feb 28, 2023",507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1457,23,1,,,,,,
omtuw1Ua2Qk,How to color correct like a PRO! | Adobe Premiere Pro 2022,"Jun 13, 2022",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1669,5,5,,,,,,
sLgHqZSe2o0,How to edit SO good your viewers get addicted to your videos,"Mar 19, 2024",872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1813,1,,,,,,,
wi5yEiRY5YM,How to add film halation in Premiere Pro - VINTAGE film look - EASY!,"Feb 28, 2024",364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0301,1,,,,,,,
